CD_BAIRRO,NM_BAIRRO,V05000,V05001,V05002,V05003,V05004,V05005,V05006,V05007,V05008,V05009,V05010,V05011,V05012,V05013,V05014,V05015,V05016,V05017,V05018,V05019,V05020,V05021,V05022,V05023,V05024,V05025,V05026,V05027,V05028,V05029,V05030,V05031,V05032,V05033,V05034
3304557042,Brás de Pina,17727,12298,4433,996,0,0,17689,38,0,15143,2584,0,17615,112,0,2513,15214,0,108,17619,0,15454,2273,0,13016,2438,2273,401,15053,2273,4688,2669,2389,7981,0
3304557043,Cordovil,13718,12393,376,949,0,0,13553,165,0,11666,2052,0,12955,763,0,1298,12420,0,39,13679,0,12263,1455,0,9679,2584,1455,0,12263,1455,4899,4008,2150,2661,0
3304557044,Parada de Lucas,8592,5615,414,2563,0,0,8509,83,0,6954,1638,0,8430,162,0,1049,7543,0,0,8592,0,5916,2676,0,3490,2426,2676,188,5728,2676,4577,2041,564,1410,0
3304557045,Vigário Geral,13155,10369,1989,749,0,48,13017,90,48,12027,1080,48,12748,359,48,379,12728,48,32,13075,48,10055,3052,48,9311,744,3100,120,9935,3100,5461,2526,1876,3244,48
3304557046,Jardim América,7790,6646,1144,0,0,0,7790,0,0,7504,286,0,7774,16,0,918,6872,0,73,7717,0,7331,459,0,6579,752,459,960,6371,459,1560,486,1079,4665,0
3304557047,São Francisco Xavier,2516,1734,459,237,0,86,2385,45,86,1858,572,86,2299,131,86,745,1685,86,0,2430,86,1732,698,86,1352,380,784,306,1426,784,1673,310,255,192,86
3304557048,Rocha,5549,3522,1485,332,0,210,5310,29,210,5112,227,210,5310,29,210,1314,4025,210,0,5339,210,5303,36,210,3682,1621,246,521,4782,246,749,949,1413,2228,210
3304557049,Riachuelo,4396,4390,6,0,0,0,4396,0,0,4320,76,0,4396,0,0,607,3789,0,0,4396,0,4385,11,0,2193,2192,11,225,4160,11,204,653,354,3185,0
3304557050,Sampaio,3284,2149,116,517,0,502,2760,22,502,2218,564,502,2504,278,502,237,2545,502,37,2745,502,2124,658,502,1768,356,1160,0,2124,1160,919,748,332,783,502
3304557051,Engenho Novo,15775,10886,1825,2756,0,308,14889,578,308,12611,2856,308,14778,689,308,3678,11789,308,11,15456,308,12532,2935,308,5874,6658,3243,2672,9860,3243,5444,2457,2359,5207,308
